mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A,mass_A
t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v,t,v
0.079166667,3607.991131,0.275,6926.817451,0.441666667,6258.434309,0.558333333,6306.568005,0.658333333,6400.624969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.083333333,3988.984833,0.279166667,6725.355009,0.445833333,6653.239812,0.5625,5651.477683,0.6625,7575.222769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0875,4240.943291,0.283333333,5154.415583,0.45,4206.851554,0.566666667,5198.922965,0.666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.091666667,4542.598375,0.2875,5624.65999,0.454166667,1684.280262,0.570833333,,0.622916667,27.51669841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.095833333,2390.983061,0.291666667,5531.726674,0.458333333,,0.525,23.20121179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,2305.124725,0.295833333,5194.766597,0.410416667,21.86495687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104166667,5389.322777,0.3,5588.702891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.108333333,5064.227483,0.304166667,5161.39516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1125,4659.957081,0.308333333,2522.855525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.116666667,5301.773288,0.3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.120833333,4165.57319,0.316666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.125,2505.673562,0.256388889,19.74130344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.129166667,729.9315036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.133333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.066666667,13.89111943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
